i,j,a3,a2,a1,c,efficiency,price,amplitude,lower_bound,upper_bound,warmstart
stor_Keswick.2011-01-31 00:00:00,flow_Keswick.2011-01-31 00:00:00,0.0,0.0,0.0,0.0,1.0,29.0157031803,1.0,0.0,4414.56122045,1065.51660202
stor_Keswick.2011-01-31 00:00:00,spill_Keswick.2011-01-31 00:00:00,0.0,0.0,0.0,0.0,1.0,-1000.0,1.0,0.0,10000000000.0,-9.99983947978e-09
spill_Keswick.2011-01-31 00:00:00,flow_Keswick.2011-01-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,-9.99983947336e-09
flow_Keswick.2011-01-31 00:00:00,DELTA.2011-01-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,1065.51660201
INFLOW.2011-01-31 00:00:00,stor_Folsom.2011-01-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,404.802700727,404.802700727,404.802704775
stor_Folsom.2011-01-31 00:00:00,stor_Folsom.2011-02-28 00:00:00,3.21e-08,-8.67e-05,0.101747899,50.60394701,0.829199799,0.0,0.998749063,111.013367,1202.644809,228.428344572
stor_Folsom.2011-01-31 00:00:00,flow_Folsom.2011-01-31 00:00:00,0.0,0.0,0.0,0.0,1.0,29.0157031803,1.0,0.0,2874.3837863,1378.73307387
stor_Folsom.2011-01-31 00:00:00,spill_Folsom.2011-01-31 00:00:00,0.0,0.0,0.0,0.0,1.0,-1000.0,1.0,0.0,10000000000.0,-9.99983949389e-09
spill_Folsom.2011-01-31 00:00:00,flow_Folsom.2011-01-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,-9.99983945922e-09
flow_Folsom.2011-01-31 00:00:00,stor_Nimbus.2011-01-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,1378.73307386
INFLOW.2011-01-31 00:00:00,stor_Nimbus.2011-01-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.99713798814e-09
stor_Nimbus.2011-01-31 00:00:00,stor_Nimbus.2011-02-28 00:00:00,0.009269121,-0.253804847,2.705583428,1.427740357,0.783712755,0.0,1.0,0.0,10.85464056,10.8546406685
stor_Nimbus.2011-01-31 00:00:00,flow_Nimbus.2011-01-31 00:00:00,0.0,0.0,0.0,0.0,1.0,29.0157031803,1.0,0.0,2881.62115834,1378.73307388
stor_Nimbus.2011-01-31 00:00:00,spill_Nimbus.2011-01-31 00:00:00,0.0,0.0,0.0,0.0,1.0,-1000.0,1.0,0.0,10000000000.0,-9.99983948183e-09
spill_Nimbus.2011-01-31 00:00:00,flow_Nimbus.2011-01-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,-9.99983947131e-09
flow_Nimbus.2011-01-31 00:00:00,DELTA.2011-01-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,1378.73307387
INFLOW.2011-01-31 00:00:00,stor_New Melones.2011-01-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,154.350211348,154.350211348,154.350212891
stor_New Melones.2011-01-31 00:00:00,stor_New Melones.2011-02-28 00:00:00,4.33e-09,-2.87e-05,0.086684534,63.03293576,0.897566109,0.0,0.999321932,98.67854843,2985.02609,2006.096324
stor_New Melones.2011-01-31 00:00:00,flow_New Melones.2011-01-31 00:00:00,0.0,0.0,0.0,0.0,1.0,29.0157031803,1.0,0.0,581.376673152,1.34427628031e-11
