link,value
"('DELTA.2011-04-30 00:00:00', 'SUPERSINK')",1407.66791634
"('INFLOW.2011-04-30 00:00:00', 'stor_Shasta.2011-04-30 00:00:00')",1152.49053075
"('stor_Shasta.2011-04-30 00:00:00', 'flow_Shasta.2011-04-30 00:00:00')",4.75985082808e-11
"('stor_Shasta.2011-04-30 00:00:00', 'spill_Shasta.2011-04-30 00:00:00')",-9.99982420941e-09
"('spill_Shasta.2011-04-30 00:00:00', 'flow_Shasta.2011-04-30 00:00:00')",-9.99980981366e-09
"('flow_Shasta.2011-04-30 00:00:00', 'stor_Keswick.2011-04-30 00:00:00')",-9.95216825343e-09
"('INFLOW.2011-04-30 00:00:00', 'stor_Keswick.2011-04-30 00:00:00')",9.99633435701e-09
"('stor_Keswick.2011-04-30 00:00:00', 'flow_Keswick.2011-04-30 00:00:00')",1.00439189142e-08
"('stor_Keswick.2011-04-30 00:00:00', 'spill_Keswick.2011-04-30 00:00:00')",-9.99980955712e-09
"('spill_Keswick.2011-04-30 00:00:00', 'flow_Keswick.2011-04-30 00:00:00')",-9.99984561439e-09
"('flow_Keswick.2011-04-30 00:00:00', 'DELTA.2011-04-30 00:00:00')",4.4030276281e-11
"('INFLOW.2011-04-30 00:00:00', 'stor_Folsom.2011-04-30 00:00:00')",820.528143043
"('stor_Folsom.2011-04-30 00:00:00', 'flow_Folsom.2011-04-30 00:00:00')",819.021825841
"('stor_Folsom.2011-04-30 00:00:00', 'spill_Folsom.2011-04-30 00:00:00')",-9.99983857128e-09
"('spill_Folsom.2011-04-30 00:00:00', 'flow_Folsom.2011-04-30 00:00:00')",-9.99983850108e-09
"('flow_Folsom.2011-04-30 00:00:00', 'stor_Nimbus.2011-04-30 00:00:00')",819.021825831
"('INFLOW.2011-04-30 00:00:00', 'stor_Nimbus.2011-04-30 00:00:00')",9.99639737648e-09
"('stor_Nimbus.2011-04-30 00:00:00', 'flow_Nimbus.2011-04-30 00:00:00')",819.021825851
"('stor_Nimbus.2011-04-30 00:00:00', 'spill_Nimbus.2011-04-30 00:00:00')",-9.99983852711e-09
"('spill_Nimbus.2011-04-30 00:00:00', 'flow_Nimbus.2011-04-30 00:00:00')",-9.99983854537e-09
"('flow_Nimbus.2011-04-30 00:00:00', 'DELTA.2011-04-30 00:00:00')",819.021825841
"('INFLOW.2011-04-30 00:00:00', 'stor_New Melones.2011-04-30 00:00:00')",276.614068469
"('stor_New Melones.2011-04-30 00:00:00', 'flow_New Melones.2011-04-30 00:00:00')",2.42172711229e-11
"('stor_New Melones.2011-04-30 00:00:00', 'spill_New Melones.2011-04-30 00:00:00')",-9.99982512829e-09
"('spill_New Melones.2011-04-30 00:00:00', 'flow_New Melones.2011-04-30 00:00:00')",-9.99981164659e-09
"('flow_New Melones.2011-04-30 00:00:00', 'DELTA.2011-04-30 00:00:00')",-9.97555407535e-09
"('INFLOW.2011-04-30 00:00:00', 'stor_Pine Flat.2011-04-30 00:00:00')",419.882732547
"('stor_Pine Flat.2011-04-30 00:00:00', 'flow_Pine Flat.2011-04-30 00:00:00')",588.646090523
"('stor_Pine Flat.2011-04-30 00:00:00', 'spill_Pine Flat.2011-04-30 00:00:00')",-9.99983752981e-09
"('spill_Pine Flat.2011-04-30 00:00:00', 'flow_Pine Flat.2011-04-30 00:00:00')",-9.99983752678e-09
"('flow_Pine Flat.2011-04-30 00:00:00', 'DELTA.2011-04-30 00:00:00')",588.646090513
"('SUPERSOURCE', 'INFLOW.2011-05-31 00:00:00')",2483.40416437
"('DELTA.2011-05-31 00:00:00', 'SUPERSINK')",1380.74175227
"('INFLOW.2011-05-31 00:00:00', 'stor_Shasta.2011-05-31 00:00:00')",872.218211897
"('stor_Shasta.2011-05-31 00:00:00', 'flow_Shasta.2011-05-31 00:00:00')",2.00686168599e-10
"('stor_Shasta.2011-05-31 00:00:00', 'spill_Shasta.2011-05-31 00:00:00')",-9.99982446555e-09
"('spill_Shasta.2011-05-31 00:00:00', 'flow_Shasta.2011-05-31 00:00:00')",-9.99981124558e-09
"('flow_Shasta.2011-05-31 00:00:00', 'stor_Keswick.2011-05-31 00:00:00')",-9.79908369577e-09
"('INFLOW.2011-05-31 00:00:00', 'stor_Keswick.2011-05-31 00:00:00')",9.99634681748e-09
"('stor_Keswick.2011-05-31 00:00:00', 'flow_Keswick.2011-05-31 00:00:00')",1.01969584904e-08
"('stor_Keswick.2011-05-31 00:00:00', 'spill_Keswick.2011-05-31 00:00:00')",-9.99980880125e-09
"('spill_Keswick.2011-05-31 00:00:00', 'flow_Keswick.2011-05-31 00:00:00')",-9.99984438059e-09
"('flow_Keswick.2011-05-31 00:00:00', 'DELTA.2011-05-31 00:00:00')",1.97072744428e-10
"('INFLOW.2011-05-31 00:00:00', 'stor_Folsom.2011-05-31 00:00:00')",665.724073936
"('stor_Folsom.2011-05-31 00:00:00', 'flow_Folsom.2011-05-31 00:00:00')",664.217756734
"('stor_Folsom.2011-05-31 00:00:00', 'spill_Folsom.2011-05-31 00:00:00')",-9.99983858303e-09
"('spill_Folsom.2011-05-31 00:00:00', 'flow_Folsom.2011-05-31 00:00:00')",-9.99983851759e-09
"('flow_Folsom.2011-05-31 00:00:00', 'stor_Nimbus.2011-05-31 00:00:00')",664.217756724
"('INFLOW.2011-05-31 00:00:00', 'stor_Nimbus.2011-05-31 00:00:00')",9.99641126216e-09
"('stor_Nimbus.2011-05-31 00:00:00', 'flow_Nimbus.2011-05-31 00:00:00')",664.217756744
"('stor_Nimbus.2011-05-31 00:00:00', 'spill_Nimbus.2011-05-31 00:00:00')",-9.99983854127e-09
"('spill_Nimbus.2011-05-31 00:00:00', 'flow_Nimbus.2011-05-31 00:00:00')",-9.99983855946e-09
"('flow_Nimbus.2011-05-31 00:00:00', 'DELTA.2011-05-31 00:00:00')",664.217756734
"('INFLOW.2011-05-31 00:00:00', 'stor_New Melones.2011-05-31 00:00:00')",362.973364888
"('stor_New Melones.2011-05-31 00:00:00', 'flow_New Melones.2011-05-31 00:00:00')",127.87790503
"('stor_New Melones.2011-05-31 00:00:00', 'spill_New Melones.2011-05-31 00:00:00')",-9.99983855246e-09
"('spill_New Melones.2011-05-31 00:00:00', 'flow_New Melones.2011-05-31 00:00:00')",-9.99983854828e-09
"('flow_New Melones.2011-05-31 00:00:00', 'DELTA.2011-05-31 00:00:00')",127.87790502
"('INFLOW.2011-05-31 00:00:00', 'stor_Pine Flat.2011-05-31 00:00:00')",582.488513629
"('stor_Pine Flat.2011-05-31 00:00:00', 'flow_Pine Flat.2011-05-31 00:00:00')",588.646090523
